Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
cách chơi cờ vua,"Informational, Commercial",14800,"0.67,0.67,0.82,1.00,0.67,0.55,0.45,0.55,0.45,0.55,0.55,0.45",65,264.27,0.19,"Image, Image pack, Video, Related searches"
cách chơi chứng khoán,"Informational, Commercial",6600,"1.00,0.82,0.82,0.82,0.67,0.44,0.82,0.82,1.00,0.67,0.55,0.67",14,4492.60,0.68,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ tướng,"Informational, Commercial",6600,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82",47,264.27,0.10,"Sitelinks, Image pack, Video, Related searches"
cách chơi poker,"Informational, Commercial",6600,"0.55,0.44,0.36,0.36,0.44,1.00,1.00,0.55,0.44,0.44,0.44,0.67",48,0.00,0.00,"Video, Related searches"
cách chơi tài xỉu,"Informational, Commercial",5400,"0.55,0.55,0.67,0.67,0.67,0.67,0.82,1.00,0.67,0.55,0.44,0.44",65,17970.40,0.19,"Featured snippet, Video, Related searches"
cách chơi xì dách,"Informational, Commercial",5400,"0.13,0.09,0.06,0.09,0.13,1.00,0.55,0.11,0.07,0.09,0.09,0.09",66,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi uno,Informational,4400,"1.00,0.82,0.66,0.66,0.55,1.00,0.82,0.66,0.55,0.82,0.82,0.66",36,264.27,0.05,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi vietlott,"Informational, Commercial",4400,"0.81,0.44,0.67,0.67,0.67,0.54,1.00,0.81,0.54,0.67,0.81,1.00",53,2906.98,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ vây,"Informational, Commercial",3600,"0.67,0.67,0.54,0.54,0.54,0.67,0.54,0.54,0.54,0.81,1.00,0.67",59,0.00,0.05,"Image pack, Video, Related searches"
cách chơi ma sói,"Informational, Commercial",3600,"0.83,0.83,0.83,0.83,0.83,1.00,0.66,0.66,0.55,1.00,0.66,0.83",40,264.27,0.08,"Sitelinks, Video, Related searches"
cách chơi ô ăn quan,Informational,3600,"0.82,0.55,0.43,0.55,0.55,0.82,0.66,0.82,0.82,1.00,1.00,0.66",49,264.27,0.15,"Sitelinks, Video, Knowledge panel, Related searches"
cách chơi bài uno,Informational,2900,"1.00,0.83,0.66,0.55,0.55,0.83,0.66,0.66,0.45,0.66,0.83,0.66",20,0.00,0.04,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi cờ tỷ phú,"Informational, Commercial",2900,"0.82,0.55,0.36,0.43,0.43,0.82,0.55,0.43,0.43,0.82,1.00,0.82",59,264.27,0.37,"Sitelinks, Image pack, Video, Related searches"
cách chơi lô tô,"Informational, Commercial",2900,"0.20,0.12,0.12,0.12,0.20,1.00,0.44,0.16,0.12,0.12,0.12,0.16",59,528.54,0.04,"Sitelinks, Image pack, Video, Related searches"
cách chơi sudoku,Informational,2900,"1.00,1.00,0.83,0.83,0.55,0.66,0.55,0.66,0.83,1.00,0.83,1.00",48,264.27,0.03,"Sitelinks, Image pack, Video, Related searches"
cách chơi vietlott 6 55 dễ trúng nhất,"Informational, Commercial",2900,"1.00,0.83,1.00,0.83,0.83,0.55,1.00,1.00,0.66,0.66,1.00,1.00",53,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches"
cách làm đồ chơi bằng giấy,Informational,2900,"0.54,0.35,0.35,0.81,0.67,0.54,0.44,0.67,0.81,1.00,0.81,1.00",28,0.00,0.08,"Image, Image pack, Video, Related searches"
cách chơi cờ cá ngựa,"Informational, Commercial",2400,"0.67,0.44,0.36,0.36,0.36,0.67,0.53,0.44,0.44,0.81,1.00,0.81",59,0.00,0.07,"Sitelinks, Image pack, Video, Related searches"
cách chơi phỏm,"Informational, Commercial",2400,"0.44,0.36,0.28,0.28,0.28,1.00,1.00,0.36,0.28,0.44,0.36,0.36",36,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi,"Informational, Transactional",1900,"1.00,0.79,0.67,0.79,0.67,0.79,0.79,1.00,0.79,0.54,0.67,0.67",30,0.00,0.00,"Image pack, Video, Related searches"
cách chơi baccarat,"Informational, Transactional",1900,"0.84,1.00,1.00,1.00,0.84,0.68,0.68,0.68,0.53,0.53,0.46,0.46",48,28012.68,0.03,"Video, Related searches"
cách chơi liên quân,Informational,1900,"1.00,0.84,0.68,0.53,0.46,0.53,0.53,0.68,0.53,0.68,0.68,1.00",62,2378.44,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi minecraft,"Informational, Commercial",1900,"1.00,0.66,0.66,0.55,0.55,0.66,0.55,0.66,0.66,0.83,0.83,0.83",31,0.00,0.03,"Sitelinks, Image pack, Video, Related searches"
cách chơi sẽ gầy,"Informational, Commercial",1900,"0.01,0.01,0.00,0.04,0.20,0.30,0.43,0.82,1.00,0.66,0.82,0.82",23,0.00,0.00,Related searches
cách chơi tiến lên,"Informational, Commercial",1900,"0.20,0.13,0.11,0.13,0.16,1.00,0.43,0.09,0.07,0.16,0.13,0.13",56,3435.52,0.00,"Sitelinks, Video, Related searches"
cách tải trò chơi,Informational,1900,"1.00,0.53,0.44,0.44,0.28,0.44,0.36,0.44,0.44,0.53,0.67,0.67",58,264.27,0.05,"Image pack, Video, Related searches"
cách chơi bida,Informational,1600,"1.00,0.81,0.62,0.55,0.45,0.45,0.55,0.55,0.45,0.45,0.45,0.45",45,264.27,0.03,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi bài tiến lên,"Informational, Commercial",1600,"0.45,0.30,0.25,0.25,0.30,1.00,0.66,0.30,0.25,0.34,0.34,0.30",58,1321.35,0.00,"Sitelinks, Video, Related searches"
cách chơi bài tứ sắc,Informational,1600,"0.81,0.45,0.55,0.37,0.45,1.00,0.81,0.45,0.37,0.37,0.45,0.37",64,0.00,0.01,"Sitelinks, Video, Knowledge panel, Related searches"
cách chơi chứng khoán trên điện thoại,Informational,1600,"1.00,0.77,0.77,0.77,0.55,0.37,0.68,0.68,1.00,0.77,0.55,0.68",12,9778.01,0.74,"Sitelinks, AI Overview, Video, Related searches"
cách chơi mèo nổ,Informational,1600,"0.81,0.62,0.62,0.55,0.55,1.00,0.62,0.45,0.55,0.62,0.62,0.62",35,264.27,0.01,"Sitelinks, Video, Knowledge panel, Related searches"
cách chơi mậu binh,"Informational, Commercial",1600,"0.81,0.62,0.55,0.55,0.55,0.81,1.00,0.55,0.37,0.30,0.30,0.30",51,21670.19,0.01,"Sitelinks, Video, Related searches"
cách chơi roblox,Informational,1600,"1.00,0.81,0.62,0.55,0.55,0.62,0.45,0.62,0.55,0.62,0.62,0.81",40,0.00,0.00,"Featured snippet, Image pack, Video, Related searches"
cách chơi cổ phiếu,Informational,1300,"1.00,0.77,0.68,0.68,0.68,0.45,0.77,0.77,1.00,0.68,0.55,0.77",27,5285.41,0.61,"Image pack, Video, Related searches"
cách chơi domino,Informational,1300,"1.00,0.68,0.68,0.68,0.55,1.00,0.77,0.68,0.55,0.77,0.77,0.77",59,264.27,0.12,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách làm trò chơi,Informational,1300,"0.68,0.46,0.53,1.00,0.84,0.46,0.53,0.68,1.00,1.00,0.84,1.00",26,0.00,0.05,"Image pack, Video, Related searches"
cách làm đồ chơi,Informational,1300,"0.68,0.46,0.53,1.00,0.84,0.46,0.53,0.68,1.00,1.00,0.84,1.00",37,0.00,0.05,"Image, Image pack, Video, Related searches"
phong cách người chơi,"Informational, Transactional",1300,"0.68,0.53,0.46,0.53,0.46,1.00,0.53,0.53,0.53,0.46,0.46,0.53",26,0.00,0.00,"Image pack, Video, Related searches"
cách chơi blox fruit,"Informational, Commercial",1000,"0.55,0.81,0.81,1.00,1.00,0.81,1.00,0.81,0.55,0.45,0.45,0.45",23,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi bài cào,"Informational, Commercial",1000,"0.16,0.09,0.11,0.11,0.16,1.00,0.67,0.13,0.11,0.13,0.16,0.13",54,13477.80,0.01,"Video, Related searches"
cách chơi bầu cua,"Informational, Commercial",1000,"0.07,0.06,0.06,0.05,0.24,1.00,0.28,0.09,0.06,0.06,0.06,0.05",33,5549.68,0.02,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi cầu lông,Informational,1000,"0.13,0.17,0.25,0.30,1.00,0.34,0.25,0.25,0.20,0.17,0.11,0.09",16,264.27,0.04,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách chơi hụi,Informational,1000,"0.77,0.77,0.77,0.77,0.68,0.55,1.00,0.68,0.55,0.45,0.45,0.45",34,264.27,0.04,"AI Overview, Image, Image pack, Video, Related searches"
cách chơi liên quân trên máy tính,"Informational, Commercial",1000,"1.00,1.00,1.00,0.72,0.72,0.72,0.88,0.88,0.88,1.00,0.88,1.00",38,1585.62,0.06,"Image pack, Video, Related searches"
cách chơi liêng,"Informational, Commercial",1000,"0.25,0.21,0.17,0.21,0.25,1.00,1.00,0.31,0.21,0.21,0.17,0.21",44,49418.60,0.03,"Video, Related searches"
cách chơi lô đề chuyên nghiệp,"Informational, Commercial",1000,"0.68,1.00,1.00,1.00,1.00,0.77,0.77,0.77,1.00,0.77,0.77,1.00",47,1849.89,0.07,"Image pack, Video, Related searches"
cách chơi max 3d,"Informational, Commercial",1000,"0.68,0.55,0.68,0.77,1.00,0.55,0.55,0.55,0.68,0.45,0.55,0.55",39,0.00,0.00,"Image pack, Video, Related searches"
cách chơi mạt chược,"Informational, Commercial",1000,"0.62,0.55,0.55,0.62,0.62,0.81,1.00,0.81,0.62,0.62,0.55,0.62",45,0.00,0.12,"Sitelinks, Video, Related searches"
cách chơi roblox tren may tinh,"Informational, Commercial",1000,"0.62,0.55,0.55,0.45,0.62,0.62,0.55,0.62,0.62,0.81,0.62,1.00",47,2378.44,0.01,"Sitelinks, Image pack, Video, Related searches"
cách chơi rubik,"Informational, Commercial",1000,"0.77,0.77,0.68,0.68,0.68,0.68,0.68,0.55,0.55,0.68,0.77,1.00",51,264.27,0.26,"Sitelinks, Image, Image pack, Video, Related searches"
cách chơi tài xỉu online luôn thắng,"Informational, Commercial",1000,"0.77,0.68,1.00,0.77,0.77,0.55,0.45,0.68,0.30,0.25,0.20,0.30",53,17706.13,0.15,"Video, Related searches"
cách chơi xổ số vietlott,"Informational, Commercial",1000,"0.77,0.45,0.55,0.55,0.55,0.37,0.68,0.55,0.55,0.55,0.68,1.00",53,1321.35,0.05,"Image pack, Video, Related searches"
cách chơi đấu trường chân lý,Informational,1000,"1.00,0.88,0.72,0.88,1.00,0.88,0.88,1.00,1.00,0.88,0.59,0.48",34,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
cá độ bóng đá cách chơi,,880,"1.00,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.04,0.03,0.01",,0.00,0.00,
cách chơi bài,"Informational, Commercial",880,"0.45,0.30,0.30,0.25,0.30,1.00,0.68,0.37,0.30,0.45,0.37,0.30",63,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bài 6 lá,"Informational, Commercial",880,"0.01,0.01,0.01,0.01,0.01,1.00,0.19,0.03,0.03,0.03,0.01,0.01",39,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bài phỏm,"Informational, Commercial",880,"0.59,0.48,0.39,0.32,0.39,1.00,1.00,0.39,0.32,0.48,0.59,0.59",29,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bài xì dách,"Informational, Commercial",880,"0.16,0.09,0.07,0.11,0.13,1.00,0.54,0.11,0.09,0.11,0.11,0.09",66,15591.97,0.01,"Sitelinks, Video, Related searches"
cách chơi dò mìn,"Informational, Commercial",880,"1.00,1.00,0.67,0.67,0.55,0.67,0.55,0.55,0.55,0.67,0.55,0.82",26,264.27,0.01,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi ma lon,"Informational, Commercial",880,"1.00,0.37,0.37,0.55,0.45,0.55,0.30,0.37,0.37,0.45,0.45,0.45",28,0.00,0.00,"Image pack, Video, Related searches"
cách chơi max 3d pro,"Informational, Commercial",880,"0.68,0.55,0.37,0.37,0.37,0.45,0.68,1.00,1.00,0.55,1.00,0.55",47,0.00,0.00,"Image pack, Video, Related searches"
cách chơi uno flip,Informational,880,"0.82,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.44,0.82,0.67,0.55",28,264.27,0.08,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách làm trò chơi trên powerpoint,"Informational, Transactional",880,"0.16,0.55,1.00,0.81,0.62,0.37,0.81,0.62,0.55,0.30,0.13,0.11",23,0.00,0.00,"Image pack, Video, Related searches"
cách nhận biết người chơi ngải,"Informational, Commercial",880,"0.55,0.55,0.68,1.00,1.00,0.77,0.68,0.68,0.55,0.55,0.77,0.68",18,2114.16,0.22,"AI Overview, Image pack, Video, Related searches"
cách test người chơi đá,Informational,880,"1.00,0.77,0.68,0.45,0.37,0.45,0.55,0.55,0.55,0.55,0.45,0.55",17,0.00,0.00,"Image, Video, Related searches"
cách chơi 2 acc roblox,"Informational, Transactional",720,"0.77,0.55,0.55,0.68,1.00,0.77,0.68,0.68,0.55,0.55,0.55,0.55",23,264.27,0.01,"Sitelinks, Video, Related searches"
cách chơi allain,"Informational, Commercial",720,"0.68,0.68,1.00,0.55,0.45,0.37,0.30,0.37,0.30,0.37,0.37,0.37",22,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi bingo,"Informational, Commercial",720,"1.00,1.00,1.00,0.81,1.00,1.00,1.00,0.81,0.66,0.66,0.66,0.81",52,0.00,0.17,"Video, Related searches"
cách chơi bài poker,"Informational, Commercial",720,"0.67,0.55,0.44,0.44,0.44,1.00,0.82,0.44,0.36,0.44,0.55,0.55",54,0.00,0.02,"Video, Related searches"
cách chơi bầu cua luôn thắng,"Informational, Commercial",720,"0.14,0.11,0.11,0.11,0.21,1.00,0.38,0.17,0.11,0.14,0.14,0.11",53,0.00,0.00,"Video, Related searches"
cách chơi chứng khoán cho người mới,Commercial,720,"1.00,0.67,0.67,0.54,0.67,0.54,1.00,0.44,1.00,0.67,0.54,1.00",25,6078.22,0.67,"Sitelinks, Image pack, Video, Related searches, Ads top"
cách chơi cá cược bóng đá,"Informational, Commercial",720,"0.36,0.09,0.09,0.36,0.09,0.09,0.64,0.09,0.09,0.09,0.09,1.00",50,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi free fire,Informational,720,"0.37,0.30,0.37,0.37,0.37,0.55,0.55,0.55,0.55,0.68,0.55,1.00",23,0.00,0.12,"Sitelinks, Image pack, Video, Related searches"
cách chơi keno,Informational,720,"0.82,0.55,0.67,0.67,0.67,0.82,1.00,0.82,0.82,0.82,0.82,0.67",50,0.00,0.00,"Image pack, Video, Related searches"
cách chơi sâm,"Informational, Commercial",720,"0.37,0.30,0.20,0.25,0.20,1.00,0.77,0.25,0.30,0.37,0.30,0.30",47,59989.43,0.01,"Sitelinks, Video, Related searches"
cách chơi tiến lên miền nam,"Informational, Commercial",720,"0.67,0.36,0.36,0.36,0.36,1.00,0.67,0.36,0.30,0.44,0.36,0.30",38,528.54,0.01,"Sitelinks, Video carousel, Related searches"
cách chơi tấn,"Informational, Transactional",720,"0.37,0.37,0.25,0.30,0.25,1.00,0.68,0.30,0.30,0.55,0.45,0.37",50,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches"
cách phối đồ đẹp cho nữ đi chơi,Informational,720,"1.00,0.67,0.82,0.67,0.82,0.82,0.67,0.82,0.82,0.54,0.67,0.54",12,1057.08,0.97,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
cách tải trò chơi trên máy tính,Informational,720,"0.88,0.72,0.72,0.72,0.59,0.72,0.72,0.88,0.72,0.88,0.88,1.00",62,2642.71,0.12,"Featured snippet, Sitelinks, Video, Related searches, Ads bottom"
cách đăng ký chơi lô de online,"Informational, Commercial",720,"0.04,0.07,0.55,1.00,0.62,0.55,0.30,0.16,1.00,0.55,0.06,0.24",65,0.00,0.00,"People also ask, Related searches"
sudoku cách chơi,Informational,720,"0.82,0.82,0.67,0.67,0.55,0.82,0.55,0.82,0.67,0.82,0.82,1.00",47,1321.35,0.06,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi bida lỗ,"Informational, Commercial",590,"1.00,0.81,0.81,0.81,0.54,0.67,0.67,0.81,0.81,0.67,0.67,0.67",43,264.27,0.04,"Sitelinks, Related searches"
cách chơi binance,"Informational, Transactional",590,"0.67,0.82,0.82,1.00,0.82,0.44,0.67,0.54,0.36,0.44,0.24,0.29",29,0.00,0.02,"AI Overview, Video, Related searches"
cách chơi bài binh,"Informational, Commercial",590,"0.16,0.11,0.13,0.13,0.13,1.00,0.68,0.16,0.08,0.13,0.11,0.13",53,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bài ma sói,"Informational, Commercial",590,"0.81,0.67,0.67,0.67,0.67,1.00,0.81,0.67,0.54,0.81,0.67,0.67",38,0.00,0.14,"Sitelinks, Video, Related searches"
cách chơi bóng chuyền,"Informational, Commercial",590,"0.55,0.82,1.00,0.67,0.82,0.36,0.55,0.67,0.55,0.36,0.24,0.30",12,0.00,0.02,"Sitelinks, Image pack, Video, Related searches"
cách chơi chứng khoán cho người mới bắt đầu,"Informational, Commercial",590,"1.00,0.44,0.54,0.82,0.44,0.29,0.29,0.82,0.54,0.36,0.15,0.36",14,5813.95,0.65,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads top, Ads bottom"
cách chơi cầu cơ,"Informational, Commercial",590,"1.00,0.54,0.67,0.67,0.67,0.67,0.36,0.44,0.44,0.54,0.54,0.54",23,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
cách chơi cờ tướng giỏi,"Informational, Commercial",590,"1.00,0.82,0.82,1.00,0.67,0.44,0.44,0.67,0.67,0.67,0.54,0.54",28,264.27,0.10,"Sitelinks, Image pack, Video, Related searches"
cách chơi cờ vua giỏi,"Informational, Commercial",590,"0.44,0.67,1.00,1.00,0.82,0.55,0.44,0.36,0.36,0.44,0.44,0.30",53,264.27,0.10,"Image pack, Video, Related searches"
cách chơi cờ vua đơn giản,"Informational, Commercial",590,"0.67,0.67,1.00,0.82,0.67,0.54,0.54,0.36,0.36,0.54,0.54,0.67",61,264.27,0.26,"Sitelinks, Image, Image pack, Video, Related searches"
cách chơi ff trên máy tính,"Informational, Commercial",590,"1.00,0.82,0.67,0.67,0.55,0.55,0.67,0.82,0.67,1.00,0.82,1.00",33,2642.71,0.12,"Image pack, Video, Related searches"
cách chơi game,"Informational, Commercial",590,"1.00,0.81,0.81,0.66,0.66,0.81,0.54,0.81,0.66,0.66,1.00,0.81",26,0.00,0.02,"Image pack, Video, Related searches"
cách chơi goose goose duck,"Informational, Commercial",590,"0.09,0.16,0.20,0.37,0.37,0.37,1.00,0.62,0.55,0.20,0.16,0.16",23,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi liên quân trên facebook,Informational,590,"0.00,0.01,0.01,0.01,0.01,0.81,0.37,0.37,0.37,0.37,1.00,0.81",29,0.00,0.03,"Featured snippet, AI Overview, Image, Image pack, Video, Related searches"
cách chơi minecraft miễn phí,"Informational, Commercial",590,"1.00,0.67,0.54,0.54,0.54,0.54,0.54,0.67,0.67,0.82,0.82,0.82",62,528.54,0.02,"Featured snippet, Video, Related searches"
cách chơi minecraft với bạn bè,Informational,590,"0.82,0.54,0.54,0.54,0.44,0.67,0.54,0.44,0.54,1.00,0.82,0.67",34,0.00,0.00,"Featured snippet, Sitelinks, Video, Related searches"
cách chơi nổ hũ,"Informational, Commercial",590,"0.37,0.30,0.45,0.55,0.45,0.45,0.55,0.62,0.62,0.81,0.81,1.00",34,19291.75,0.35,"Sitelinks, Video, Video carousel, Related searches"
cách chơi play together khi bảo trì,"Informational, Commercial",590,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",16,0.00,0.00,"AI Overview, Image pack, Video, Related searches"
cách chơi pop it,Informational,590,"0.00,0.00,0.00,0.00,0.02,0.04,0.13,0.54,1.00,0.79,0.42,0.25",24,2642.71,0.88,"Sitelinks, Image pack, Video, Related searches"
cách chơi sâm lốc,"Informational, Commercial",590,"0.55,0.44,0.30,0.36,0.24,0.55,1.00,0.19,0.19,0.24,0.19,0.24",47,0.00,0.00,"Video, Related searches"
cách chơi thorne,"Informational, Commercial",590,"1.00,1.00,0.82,1.00,0.67,0.36,0.55,0.67,0.82,0.67,0.36,0.24",22,0.00,0.00,Related searches
cách chơi trò chơi trên máy tính casio fx-580vnx,"Informational, Commercial",590,"0.11,0.24,0.30,0.30,0.11,0.16,0.16,0.30,0.81,1.00,0.62,0.37",27,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
cách chơi tài xỉu luôn thắng,"Informational, Commercial",590,"0.11,0.09,0.09,0.11,0.11,0.13,0.13,0.16,0.13,1.00,0.24,0.01",51,17706.13,0.11,"Video, Related searches"
cách chơi tứ sắc,"Informational, Commercial",590,"0.54,0.44,0.44,0.29,0.36,1.00,1.00,0.36,0.29,0.36,0.36,0.29",56,0.00,0.01,"Video, Related searches"
cách chơi xóc đĩa,"Informational, Commercial",590,"0.54,0.44,0.54,0.44,0.54,0.82,1.00,0.54,0.44,0.44,0.36,0.29",41,16913.32,0.08,"Video, Related searches"
cách chơi xổ số miền bắc,"Informational, Commercial",590,"0.55,0.44,0.55,0.55,0.67,0.67,1.00,0.67,0.55,0.55,0.55,0.44",48,0.00,0.00,"Image pack, Video, People also ask, Related searches"
cách chơi yoyo,"Informational, Commercial",590,"1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.66,0.54,0.81,0.54,0.54",28,0.00,0.62,"Image pack, Video, Related searches"
cách làm trò chơi trên scratch,Informational,590,"0.21,0.21,0.25,0.21,0.21,0.21,0.38,0.84,1.00,0.84,0.31,0.38",34,0.00,0.00,"Featured snippet, Sitelinks, Video, Related searches"
cách làm trò chơi ô chữ trên powerpoint,"Informational, Commercial",590,"0.12,0.67,1.00,0.55,0.44,0.16,0.36,0.44,0.24,0.12,0.08,0.06",21,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách làm đồ chơi bằng bìa cát tông,Informational,590,"0.82,0.44,0.67,1.00,0.67,0.36,0.44,0.67,0.82,0.55,0.44,0.44",27,0.00,0.29,"Image, Image pack, Video, Related searches"
cờ vua cách chơi,Informational,590,"0.30,0.37,0.45,1.00,0.37,0.37,0.30,0.24,0.24,0.30,0.37,0.30",63,264.27,0.22,"Image, Image pack, Video, Related searches"
karaoke phong cách người chơi,"Navigational, Transactional",590,"0.67,0.55,0.67,0.67,0.67,1.00,0.55,0.55,0.55,0.55,0.55,0.55",28,0.00,0.00,Related searches
cách chơi bitcoin,Informational,480,"0.82,1.00,1.00,0.54,0.54,0.36,0.36,0.36,0.36,0.44,0.67,1.00",42,2642.71,0.13,"Sitelinks, Image, Image pack, Video, Related searches"
cách chơi bittrex,"Informational, Commercial",480,"0.50,0.50,0.50,1.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50",18,0.00,0.00,"Sitelinks, Video"
cách chơi blackjack,Informational,480,"1.00,1.00,0.67,0.67,1.00,1.00,1.00,0.81,0.81,1.00,0.67,0.67",48,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches"
cách chơi bài tấn,"Informational, Commercial",480,"0.54,0.44,0.36,0.36,0.36,1.00,0.82,0.44,0.36,0.67,0.82,0.54",51,0.00,0.00,"Sitelinks, Video, Related searches"
cách chơi bóng rổ,"Informational, Commercial",480,"0.44,0.55,0.67,0.55,1.00,0.44,0.44,0.67,0.55,0.36,0.30,0.24",11,0.00,0.04,"Sitelinks, Image pack, Video, Related searches"
cách chơi catte,"Informational, Commercial",480,"0.26,0.17,0.11,0.11,0.17,1.00,0.72,0.21,0.17,0.17,0.14,0.14",47,44661.73,0.01,"Video, Related searches"
cách chơi chung minecraft,"Informational, Commercial",480,"1.00,0.54,0.67,0.81,0.81,0.81,0.54,0.81,0.54,0.54,0.67,0.44",28,0.00,0.00,"Sitelinks, Image pack, Video, Related searches"
cách chơi chắn,"Informational, Commercial",480,"0.67,0.54,0.54,0.44,0.44,0.67,1.00,0.67,0.54,0.44,0.44,0.54",12,0.00,0.00,"Sitelinks, Image, Video, Related searches"
cách chơi cá ngựa,"Informational, Commercial",480,"0.67,0.54,0.36,0.36,0.29,0.67,0.54,0.44,0.36,0.67,1.00,0.67",59,264.27,0.13,"Sitelinks, AI Overview, Image pack, Video, Related searches"
